app_name,month,total_reviews,positive_reviews,positivity_rate,updates_in_month,update_significance,peak_players,month_dt
Dead by Daylight,2020-01,37203,31689,85.1786146278526,0.0,No Update,44620.0,2020-01-01
Dead by Daylight,2020-02,24609,20319,82.56735340729001,0.0,No Update,38942.0,2020-02-01
Dead by Daylight,2020-03,36366,31017,85.29120607160534,1.0,Medium,51146.0,2020-03-01
Dead by Daylight,2020-04,35445,30288,85.45069826491748,0.0,No Update,58477.0,2020-04-01
Dead by Daylight,2020-05,32622,27927,85.6078719882288,0.0,No Update,57799.0,2020-05-01
Dead by Daylight,2020-06,51333,45096,87.84992110338379,1.0,High,77341.0,2020-06-01
Dead by Daylight,2020-07,50688,45144,89.0625,0.0,No Update,66429.0,2020-07-01
Dead by Daylight,2020-08,48375,40227,83.15658914728682,0.0,No Update,58910.0,2020-08-01
Dead by Daylight,2020-09,43878,38322,87.33761794065363,1.0,Medium,76258.0,2020-09-01
Dead by Daylight,2020-10,28980,25077,86.53209109730848,0.0,No Update,77347.0,2020-10-01
Dead by Daylight,2020-11,55530,50748,91.38843868179363,0.0,No Update,75075.0,2020-11-01
Dead by Daylight,2020-12,39351,33984,86.36121064267745,1.0,Medium,54526.0,2020-12-01
Dead by Daylight,2021-01,24453,21051,86.0875966139124,0.0,No Update,53583.0,2021-01-01
Deep Rock Galactic,2020-01,5310,5190,97.74011299435028,1.0,High,5242.0,2020-01-01
Deep Rock Galactic,2020-02,6060,5733,94.6039603960396,0.0,No Update,19471.0,2020-02-01
Deep Rock Galactic,2020-03,15228,14661,96.27659574468085,1.0,Medium,20030.0,2020-03-01
Deep Rock Galactic,2020-04,5805,5661,97.51937984496124,0.0,No Update,6541.0,2020-04-01
Deep Rock Galactic,2020-05,15120,14646,96.86507936507937,1.0,High,15515.0,2020-05-01
Deep Rock Galactic,2020-06,10785,10452,96.91237830319889,1.0,Medium,11326.0,2020-06-01
Deep Rock Galactic,2020-07,9174,8895,96.95879659908438,0.0,No Update,10527.0,2020-07-01
Deep Rock Galactic,2020-08,4893,4743,96.93439607602697,0.0,No Update,6370.0,2020-08-01
Deep Rock Galactic,2020-09,7893,7689,97.41543139490688,0.0,No Update,9273.0,2020-09-01
Deep Rock Galactic,2020-10,7725,7521,97.35922330097088,2.0,High,12457.0,2020-10-01
Deep Rock Galactic,2020-11,33915,33705,99.38080495356037,0.0,No Update,11275.0,2020-11-01
Deep Rock Galactic,2020-12,11583,11334,97.85029785029785,1.0,Low,12395.0,2020-12-01
Deep Rock Galactic,2021-01,8607,8412,97.73440223074242,0.0,No Update,14077.0,2021-01-01
Hunt: Showdown,2020-01,7062,6231,88.23279524214104,0.0,No Update,9065.0,2020-01-01
Hunt: Showdown,2020-02,9345,7824,83.72391653290529,0.0,No Update,12428.0,2020-02-01
Hunt: Showdown,2020-03,7755,6663,85.91876208897486,0.0,No Update,12856.0,2020-03-01
Hunt: Showdown,2020-04,6822,5727,83.94898856640282,0.0,No Update,12472.0,2020-04-01
Hunt: Showdown,2020-05,6258,5283,84.41994247363375,0.0,No Update,10746.0,2020-05-01
Hunt: Showdown,2020-06,6144,5175,84.228515625,0.0,No Update,12660.0,2020-06-01
Hunt: Showdown,2020-07,6624,5529,83.46920289855072,0.0,No Update,13842.0,2020-07-01
Hunt: Showdown,2020-08,5436,4419,81.29139072847681,0.0,No Update,10733.0,2020-08-01
Hunt: Showdown,2020-09,4035,3366,83.42007434944237,0.0,No Update,10451.0,2020-09-01
Hunt: Showdown,2020-10,5901,4710,79.81698017285206,1.0,Low,15063.0,2020-10-01
Hunt: Showdown,2020-11,8571,7620,88.9044452222611,0.0,No Update,16523.0,2020-11-01
Hunt: Showdown,2020-12,7644,6681,87.40188383045526,1.0,Low,15539.0,2020-12-01
Hunt: Showdown,2021-01,5145,4449,86.47230320699708,0.0,No Update,15265.0,2021-01-01
No Man's Sky,2020-01,9888,9081,91.8385922330097,0.0,No Update,10613.0,2020-01-01
No Man's Sky,2020-02,9876,8895,90.06682867557716,1.0,Medium,17980.0,2020-02-01
No Man's Sky,2020-03,7056,6321,89.58333333333334,0.0,No Update,13493.0,2020-03-01
No Man's Sky,2020-04,15762,14010,88.88465930719451,1.0,Medium,25414.0,2020-04-01
No Man's Sky,2020-05,7320,6456,88.19672131147541,0.0,No Update,12089.0,2020-05-01
No Man's Sky,2020-06,9507,8313,87.44083307036921,0.0,No Update,11736.0,2020-06-01
No Man's Sky,2020-07,13161,11874,90.22110781855483,1.0,Medium,21844.0,2020-07-01
No Man's Sky,2020-08,6597,5853,88.72214643019555,0.0,No Update,14929.0,2020-08-01
No Man's Sky,2020-09,12489,11172,89.4547201537353,1.0,High,34739.0,2020-09-01
No Man's Sky,2020-10,12561,11223,89.34798184857894,0.0,No Update,30502.0,2020-10-01
No Man's Sky,2020-11,18207,17178,94.34832756632065,1.0,Medium,16326.0,2020-11-01
No Man's Sky,2020-12,9798,8796,89.77342314758114,0.0,No Update,11954.0,2020-12-01
No Man's Sky,2021-01,6513,5847,89.7742975587287,0.0,No Update,12707.0,2021-01-01
Phasmophobia,2020-09,17085,16767,98.13871817383671,0.0,No Update,0.0,2020-09-01
Phasmophobia,2020-10,210951,204528,96.95521708832857,0.0,No Update,112241.0,2020-10-01
Phasmophobia,2020-11,271092,266658,98.36439289982737,0.0,No Update,99089.0,2020-11-01
Phasmophobia,2020-12,97575,94584,96.934665641814,1.0,Medium,45537.0,2020-12-01
Phasmophobia,2021-01,60567,58635,96.81014413789687,0.0,No Update,42360.0,2021-01-01
Rust,2020-01,48780,43587,89.35424354243543,0.0,No Update,97340.0,2020-01-01
Rust,2020-02,35517,31875,89.74575555367852,0.0,No Update,92016.0,2020-02-01
Rust,2020-03,42804,38145,89.11550322399776,0.0,No Update,102296.0,2020-03-01
Rust,2020-04,40896,36018,88.07218309859155,0.0,No Update,125415.0,2020-04-01
Rust,2020-05,35001,31374,89.63743893031628,0.0,No Update,102051.0,2020-05-01
Rust,2020-06,33807,30333,89.72402165232053,0.0,No Update,93513.0,2020-06-01
Rust,2020-07,43353,39072,90.1252508476922,1.0,Medium,97741.0,2020-07-01
Rust,2020-08,29058,26001,89.47966136692132,0.0,No Update,89147.0,2020-08-01
Rust,2020-09,24630,22140,89.89037758830695,0.0,No Update,76611.0,2020-09-01
Rust,2020-10,27477,25038,91.12348509662627,0.0,No Update,80422.0,2020-10-01
Rust,2020-11,47265,43806,92.68168835290383,0.0,No Update,101365.0,2020-11-01
Rust,2020-12,47331,42837,90.50516574760728,1.0,Medium,97445.0,2020-12-01
Rust,2021-01,92838,84495,91.01337814257093,0.0,No Update,244394.0,2021-01-01
Stardew Valley,2020-01,35784,35058,97.97116029510396,0.0,No Update,39046.0,2020-01-01
Stardew Valley,2020-02,30501,29451,96.55748991836333,0.0,No Update,33885.0,2020-02-01
Stardew Valley,2020-03,33987,33318,98.03160031776856,0.0,No Update,45512.0,2020-03-01
Stardew Valley,2020-04,31065,30465,98.06856591018831,0.0,No Update,44965.0,2020-04-01
Stardew Valley,2020-05,22113,21732,98.27703161036494,0.0,No Update,31679.0,2020-05-01
